127.0.0.1; 26/Oct/2015:00:00:01 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A07.641&campaign=&country_code=ES&city=None&ip_address=95.23.180.153&language=espa%3Fol&device_name=&device_type=Lenovo%3A%3ATab2A7-10F&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:01 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A13.925&campaign=&country_code=MX&city=None&ip_address=189.162.106.177&language=espa%3Fol&device_name=&device_type=samsung%3A%3AGT-I9195L&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:01 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A25.095&campaign=&country_code=DE&city=None&ip_address=87.149.95.144&language=Deutsch&device_name=&device_type=samsung%3A%3ASM-G920F&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:01 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A08.900&campaign=&country_code=CH&city=None&ip_address=80.218.71.146&language=portugu%3Fs&device_name=&device_type=samsung%3A%3ASM-G900F&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:01 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A58%3A56.770&campaign=&country_code=PT&city=Caldas+Da+Rainha&ip_address=2.82.114.115&language=portugu%3Fs&device_name=&device_type=oneplus%3A%3AA0001&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:01 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=id12345&click_time=&install_time=2015-10-25+20%3A59%3A18.244&campaign=&country_code=IT&city=Prato&ip_address=151.41.127.42&language=en-GB&device_name=iPhone&device_type=iPhone4%3B1&app_version=&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:01 +0300; tracker.internal; /api/postback; 200; 3; 0.001 [0.001];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A14.769&campaign=&country_code=NL&city=None&ip_address=85.150.211.71&language=portugu%3Fs&device_name=&device_type=samsung%3A%3AGT-P5110&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:02 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A10.553&campaign=&country_code=EC&city=Guayaquil&ip_address=186.101.70.45&language=espa%3Fol&device_name=&device_type=samsung%3A%3ASM-T239M&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:02 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+21%3A00%3A01.883&campaign=&country_code=BR&city=None&ip_address=191.197.134.123&language=portugu%3Fs&device_name=&device_type=motorola%3A%3AXT1068&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:03 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A20.004&campaign=&country_code=NA&city=None&ip_address=105.232.214.60&language=English&device_name=&device_type=samsung%3A%3AGT-S7562&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:03 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A20.993&campaign=&country_code=RU&city=Moscow&ip_address=83.220.239.201&language=%3F%3F%3F%3F%3F%3F%3F&device_name=&device_type=Explay%3A%3APulsar&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:03 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+21%3A00%3A02.519&campaign=&country_code=AR&city=San+Miguel&ip_address=181.16.54.234&language=espa%3Fol&device_name=&device_type=samsung%3A%3ASM-G360M&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:04 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+21%3A00%3A02.552&campaign=&country_code=DE&city=Leonberg&ip_address=92.74.173.205&language=sloven%3F%3Fina&device_name=&device_type=samsung%3A%3AGT-I8260&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:04 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A17.099&campaign=&country_code=IT&city=None&ip_address=5.90.38.202&language=italiano&device_name=&device_type=samsung%3A%3ASM-G800F&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:05 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A20.645&campaign=&country_code=TR&city=None&ip_address=88.243.255.163&language=T%3Frk%3Fe&device_name=&device_type=samsung%3A%3AGT-I9100&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:05 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=id12345&click_time=&install_time=2015-10-25+20%3A59%3A24.001&campaign=&country_code=US&city=Sacramento&ip_address=107.202.201.39&language=en-US&device_name=Atanacia%27s+iPad&device_type=iPad5%3B3&app_version=&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:05 +0300; tracker.internal; /api/postback; 200; 3; 0.001 [0.001];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A30.430&campaign=&country_code=TW&city=Taipei&ip_address=101.139.110.212&language=%3F%3F&device_name=&device_type=InFocus%3A%3AInFocus+M810&app_version=4.16.2&media_source= ; -
